id	org	files	has_meta	has_r	usable
GSE153559	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE150430	Homo sapiens	TXT	no	no	no
GSE154600	Homo sapiens	MTX, TSV	no	no	no
GSE150660	Homo sapiens	CSV, H5AD	no	no	no
GSE147143	Homo sapiens	H5AD	no	no	no
GSE147047	Homo sapiens	MTX, TSV	no	no	no
GSE137620	Homo sapiens	MTX, TSV	no	no	no
GSE125527	Homo sapiens	CSV, TSV	yes	no	yes
GSE152685	Homo sapiens	MTX, TSV	no	no	no
GSE141026	Homo sapiens	RDS	no	yes	yes
GSE154359	Homo sapiens	MTX, TSV	no	no	no
GSE154358	Homo sapiens	MTX, TSV	no	no	no
GSE154356	Homo sapiens	MTX, TSV	no	no	no
GSE154178	Homo sapiens	BIGWIG, BW, MTX, TSV	no	no	no
GSE118487	Homo sapiens	MTX, TSV	no	no	no
GSE145013	Homo sapiens	RDA, TXT	yes	yes	yes
GSE142745	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE142744	Homo sapiens	MTX, TSV	no	no	no
GSE141460	Homo sapiens	TXT	no	no	no
GSE132164	Homo sapiens	CSV	no	no	no
GSE135851	Homo sapiens	TAR	no	no	no
GSE151263	Homo sapiens	TXT	no	no	no
GSE148507	Homo sapiens	none	no	no	no
GSE148506	Homo sapiens	TXT	yes	no	yes
GSE148504	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE134432	Homo sapiens	BW, TSV	no	no	no
GSE146147	Homo sapiens	TXT	no	no	no
GSE143706	Homo sapiens	H5	no	no	no
GSE143705	Homo sapiens	CSV, TXT	no	no	no
GSE153958	Homo sapiens	ZIP	no	no	no
GSE153935	Homo sapiens	TXT	no	no	no
GSE153929	Homo sapiens; Mus musculus	MTX, TSV	no	no	no
GSE145122	Homo sapiens	MTX, TSV	no	no	no
GSE149377	Homo sapiens	GCT	no	no	no
GSE134004	Mus musculus; Homo sapiens	MTX, TSV, TXT	no	no	no
GSE152805	Homo sapiens	MTX, TSV	no	no	no
GSE149689	Homo sapiens	MTX, TSV	no	no	no
GSE153802	Homo sapiens	MTX, TSV	no	no	no
GSE153760	Homo sapiens	MTX, TSV	no	no	no
GSE153541	Homo sapiens	TXT	yes	no	yes
GSE151161	Homo sapiens	CSV	no	no	no
GSE150768	Mus musculus; Homo sapiens	BW, TXT	yes	no	yes
GSE145360	Homo sapiens	MTX, TSV, TXT	yes	no	yes
GSE153534	Homo sapiens; Mus musculus	CSV	no	no	no
GSE132914	Homo sapiens	H5	no	no	no
GSE131593	Homo sapiens	CSV	no	no	no
GSE146192	Homo sapiens	TAR	no	no	no
GSE144469	Homo sapiens	CSV, TAR	no	no	no
GSE144085	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE111976	Homo sapiens	CSV, RDS, TXT	no	yes	yes
GSE151137	Homo sapiens; Mus musculus	TXT	no	no	no
GSE153358	Homo sapiens	CSV, MTX, TSV	yes	no	yes
GSE148283	Homo sapiens	CSV	no	no	no
GSE153032	Homo sapiens	TXT	no	no	no
GSE152981	Homo sapiens	CSV, XLSX	no	no	no
GSE152988	Homo sapiens	CSV, H5	no	no	no
GSE150241	Homo sapiens	H5	no	no	no
GSE148077	Homo sapiens	CSV	no	no	no
GSE144240	Homo sapiens	JPG, TSV	no	no	no
GSE144239	Homo sapiens	CSV, JPG, JSON, PNG, TSV, TXT	no	no	no
GSE144236	Homo sapiens; Mus musculus	TXT	yes	no	yes
GSE152867	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE142078	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE139342	Homo sapiens	TAR	no	no	no
GSE143167	Homo sapiens	none	no	no	no
GSE142119	Homo sapiens	BEDGRAPH, TXT	no	no	no
GSE139891	Homo sapiens	CSV, TXT	no	no	no
GSE150864	Homo sapiens	CSV	no	no	no
GSE149451	Homo sapiens	CSV	no	no	no
GSE145306	Homo sapiens	CSV	no	no	no
GSE152318	Homo sapiens	CSV, XLSX	no	no	no
GSE152315	Homo sapiens	XLSX	no	no	no
GSE142585	Homo sapiens; Macaca mulatta	TXT	no	no	no
GSE139042	Homo sapiens	CSV, TXT	no	no	no
GSE117512	Homo sapiens	MTX, TSV	no	no	no
GSE152246	Homo sapiens	XLSX	no	no	no
GSE147903	Homo sapiens	MTX, TSV	no	no	no
GSE137758	Homo sapiens	MTX, TSV	no	no	no
GSE132558	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE151735	Homo sapiens	TXT	no	no	no
GSE146172	Homo sapiens	none	no	no	no
GSE146170	Homo sapiens	TXT	no	no	no
GSE146046	Homo sapiens	TXT	no	no	no
GSE128243	Homo sapiens	MTX, TSV	no	no	no
GSE123899	Homo sapiens	TXT	no	no	no
GSE113415	Homo sapiens	TXT	no	no	no
GSE152048	Homo sapiens	none	no	no	no
GSE130157	Homo sapiens	TXT	no	no	no
GSE113418	Homo sapiens; Mus musculus	none	no	no	no
GSE134757	Homo sapiens	CSV, MTX, TSV, TXT	yes	no	yes
GSE130116	Homo sapiens	MTX, TSV	no	no	no
GSE151889	Homo sapiens; Mus musculus	MTX, TSV	no	no	no
GSE142784	Homo sapiens	CSV	no	no	no
GSE138709	Homo sapiens	CSV	no	no	no
GSE135194	Homo sapiens	CSV	no	no	no
GSE151825	Homo sapiens	TSV	no	no	no
GSE148796	Homo sapiens	MTX, TSV	no	no	no
GSE131094	Homo sapiens	TXT	no	no	no
GSE145328	Homo sapiens	CSV, MTX, TSV	no	no	no
GSE143704	Homo sapiens	TXT	yes	no	yes
GSE151334	Homo sapiens; Mus musculus	TSV	no	no	no
GSE149652	Homo sapiens	CSV	no	no	no
GSE142489	Homo sapiens	MTX, TSV	no	no	no
GSE135520	Homo sapiens	TSV	no	no	no
GSE114454	Homo sapiens	TXT	no	no	no
GSE151409	Homo sapiens	CSV, H5, HTML, TXT, XLSX	no	no	no
GSE151375	Homo sapiens	CSV, TSV	no	no	no
GSE151091	Homo sapiens	CSV	no	no	no
GSE149298	Homo sapiens	CSV, DOCX, XLSX	yes	no	yes
GSE145036	Homo sapiens	H5	no	no	no
GSE150766	Homo sapiens	MTX, TSV	no	no	no
GSE149180	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE145410	Homo sapiens	MTX, TSV	no	no	no
GSE115869	Homo sapiens	TXT	no	no	no
GSE137539	Mus musculus; Homo sapiens	TXT	yes	no	yes
GSE137673	Homo sapiens	BEDGRAPH, H5, TSV	no	no	no
GSE137672	Homo sapiens	H5	no	no	no
GSE137671	Homo sapiens	TSV	no	no	no
GSE137540	Mus musculus; Homo sapiens	TXT	no	no	no
GSE150774	Homo sapiens	TAR	no	no	no
GSE135399	Homo sapiens	MTX, TSV	no	no	no
GSE151089	Homo sapiens	MTX, TSV	no	no	no
GSE151087	Homo sapiens	MTX, TSV	no	no	no
GSE148902	Homo sapiens	TXT	no	no	no
GSE150949	Homo sapiens	CSV	no	no	no
GSE148996	Homo sapiens	MTX, TSV	no	no	no
