id	usable	usable2	software_author
GSE129256	no	no	none
GSE129257	no	no	none
GSE129299	no	no	author
GSE129308	no	no	none
GSE129371	no	no	none
GSE129447	no	no	none
GSE129451	no	no	author
GSE129455	no	no	author
GSE129516	no	no	none
GSE129517	no	no	none
GSE129519	no	no	author
GSE129570	no	no	none
GSE129578	no	no	author
GSE129581	yes	meta	author
GSE129583	no	no	none
GSE129584	no	no	none
GSE129605	no	no	none
GSE129609	no	no	none
GSE129611	no	no	none
GSE129653	no	no	none
GSE129662	no	no	none
GSE129726	no	no	author
GSE129730	no	no	author
GSE129738	no	no	author
GSE129740	no	no	author
GSE129762	no	no	none
GSE129763	no	no	none
GSE129773	no	no	none
GSE129774	no	no	none
GSE129788	yes	meta	author
GSE129798	no	no	author
GSE129825	no	no	author
GSE129826	no	no	author
GSE129845	no	no	author
GSE129857	no	no	none
GSE129914	yes	meta	author
GSE129921	no	no	none
GSE129927	no	no	none
GSE129933	yes	meta	author
GSE129937	no	no	none
GSE129981	no	no	none
GSE129987	no	no	author
GSE130000	no	no	none
GSE130001	no	no	author
GSE130008	yes	meta	author
GSE130009	yes	meta	author
GSE130025	no	no	author
GSE130037	no	no	author
GSE130045	no	no	author
GSE130050	no	no	none
GSE130065	no	no	author
GSE130070	no	no	none
GSE130075	no	no	none
GSE130077	no	no	none
GSE130105	no	no	none
GSE130113	no	no	author
GSE130114	yes	meta	author
GSE130116	no	no	none
GSE130117	no	no	author
GSE130118	no	no	none
GSE130146	no	no	none
GSE130148	yes	meta	author
GSE130151	no	no	none
GSE130157	no	no	none
GSE130180	no	no	none
GSE130212	no	no	none
GSE130228	no	no	none
GSE130238	no	no	author
GSE130287	no	no	none
GSE130289	no	no	author
GSE130298	no	no	author
GSE130312	yes	meta	author
GSE130318	no	no	none
GSE130341	no	no	author
GSE130346	no	no	none
GSE130355	no	no	none
GSE130430	no	no	none
GSE130439	no	no	author
GSE130453	no	no	author
GSE130461	no	no	none
GSE130473	no	no	author
GSE130504	no	no	none
GSE130515	no	no	none
GSE130526	yes	object	none
GSE130554	no	no	none
GSE130566	no	no	none
GSE130593	no	no	none
GSE130597	no	no	none
GSE130606	no	no	author
GSE130609	no	no	none
GSE130626	no	no	none
GSE130636	no	no	none
GSE130646	no	no	none
GSE130649	no	no	none
GSE130653	yes	meta	none
GSE130664	no	no	none
GSE130682	yes	meta	author
GSE130708	no	no	author
GSE130756	no	no	author
GSE130772	no	no	author
GSE130784	no	no	author
GSE130785	no	no	none
GSE130812	no	no	none
GSE130822	no	no	author
GSE130842	no	no	author
GSE130850	no	no	none
GSE130875	no	meta	author
GSE130879	no	no	author
GSE130880	no	no	none
GSE130881	no	no	author
GSE130888	no	no	none
GSE130896	no	no	none
GSE130919	no	no	none
GSE130938	no	no	none
GSE130950	no	no	none
GSE130966	no	no	author
GSE130973	yes	object	none
GSE130977	no	no	none
GSE131007	no	no	none
GSE131038	yes	object	author
GSE131059	no	no	none
GSE131086	no	no	none
GSE131094	no	no	author
GSE131099	no	no	author
GSE131134	no	no	none
GSE131135	yes	object	author
GSE131136	yes	meta	author
GSE131155	no	no	author
GSE131181	yes	meta	none
GSE131183	no	no	none
GSE131204	yes	object	author
GSE131271	no	no	none
GSE131272	no	no	none
GSE131285	no	no	none
GSE131305	no	no	author
GSE131309	yes	meta	none
GSE131339	no	no	none
GSE131351	yes	meta	none
GSE131365	no	no	none
GSE131391	no	no	author
GSE131409	no	no	none
GSE131416	no	no	none
GSE131434	no	no	none
GSE131450	no	no	author
GSE131498	no	no	none
GSE131508	no	no	none
GSE131535	no	no	none
GSE131569	no	no	none
GSE131593	no	no	none
GSE131629	no	no	none
GSE131630	no	no	author
GSE131662	no	no	none
GSE131668	no	no	none
GSE131685	no	no	author
GSE131696	no	no	none
GSE131702	no	no	none
GSE131714	no	no	author
GSE131734	no	no	none
GSE131736	no	no	none
GSE131780	no	no	author
GSE131800	no	no	none
GSE131834	yes	meta	none
GSE131841	no	no	none
GSE131847	no	no	none
GSE131882	yes	object	author
GSE131886	no	no	none
GSE131907	yes	meta	author
GSE131909	no	no	none
GSE131927	no	no	none
GSE131928	no	no	author
GSE131935	no	no	author
GSE131957	yes	meta	none
GSE131971	no	no	none
GSE131983	no	no	author
GSE131984	yes	meta	author
GSE131987	no	no	author
GSE131996	no	no	none
GSE132023	no	no	none
GSE132044	no	no	author
GSE132045	no	no	none
GSE132065	no	no	author
GSE132067	no	no	none
GSE132080	yes	meta	author
GSE132105	no	no	none
GSE132122	no	no	none
GSE132133	no	no	author
GSE132146	no	no	author
GSE132149	no	no	author
GSE132151	no	no	author
GSE132164	no	no	author
GSE132166	yes	meta	author
GSE132172	no	no	none
GSE132184	no	no	none
GSE132188	yes	object	author
GSE132199	no	no	none
GSE132224	no	no	none
GSE132229	no	no	none
GSE132238	no	no	none
GSE132255	no	no	author
GSE132257	yes	meta	author
GSE132272	no	no	none
GSE132273	no	no	author
GSE132274	no	no	none
GSE132326	no	no	author
GSE132329	no	no	author
GSE132338	yes	meta	author
GSE132355	yes	object	author
GSE132357	no	no	none
GSE132364	yes	object	author
GSE132394	no	no	none
GSE132396	no	no	none
GSE132402	no	no	none
GSE132438	no	no	none
GSE132462	no	no	none
GSE132465	yes	meta	author
GSE132504	no	no	none
GSE132507	no	no	none
GSE132509	no	no	none
GSE132525	no	no	none
GSE132533	no	no	none
GSE132573	no	no	author
GSE132581	no	no	none
GSE132582	no	no	none
GSE132589	no	no	author
GSE132642	no	no	none
GSE132649	no	no	none
GSE132658	no	no	none
GSE132662	no	no	none
GSE132672	no	no	none
GSE132730	yes	meta	author
GSE132745	no	no	none
GSE132757	no	no	author
GSE132758	no	no	none
GSE132770	no	no	author
GSE132771	no	no	author
GSE132798	no	no	none
GSE132802	no	no	none
GSE132803	no	no	none
GSE132815	no	no	none
GSE132867	no	no	none
GSE132880	no	no	none
GSE132901	no	no	none
GSE132904	no	no	none
GSE132910	no	no	none
GSE132914	no	no	none
GSE132925	no	no	none
GSE132943	no	no	none
GSE132950	no	no	none
GSE132959	no	no	none
GSE132999	no	no	none
GSE133015	no	no	none
GSE133018	no	no	none
GSE133022	no	no	none
GSE133028	no	no	none
GSE133054	no	no	author
GSE133079	no	no	author
GSE133083	no	no	author
GSE133094	no	no	author
GSE133161	no	no	author
GSE133167	no	no	none
GSE133181	no	no	author
GSE133204	no	no	none
GSE133230	no	no	none
GSE133232	no	no	author
GSE133233	yes	meta	none
GSE133244	yes	meta	author
GSE133329	no	no	none
GSE133341	yes	meta	none
GSE133344	no	no	author
GSE133345	yes	meta	author
GSE133371	no	no	none
GSE133433	no	no	none
GSE133449	no	no	none
GSE133452	no	no	none
GSE133466	no	no	none
GSE133486	yes	meta	none
GSE133512	no	no	none
GSE133531	yes	meta	none
GSE133549	yes	meta	author
GSE133604	no	no	author
GSE133640	yes	meta	none
GSE133699	no	no	author
GSE133706	no	no	author
GSE133707	no	no	author
GSE133743	no	no	none
GSE133747	no	no	author
GSE133773	no	no	none
GSE133832	no	no	none
GSE133856	no	no	none
GSE133894	no	no	none
GSE133912	yes	meta	none
GSE133926	no	no	none
GSE133948	yes	meta	none
GSE133953	no	no	none
GSE133992	no	no	none
GSE133996	no	no	author
GSE134004	no	no	none
GSE134009	no	no	none
GSE134049	no	no	none
GSE134058	no	no	none
GSE134134	no	no	none
GSE134139	no	no	author
GSE134144	no	no	none
GSE134157	no	no	none
GSE134163	no	no	none
GSE134174	yes	meta	none
GSE134179	no	no	none
GSE134180	no	no	none
GSE134181	no	no	none
GSE134240	no	no	none
GSE134242	no	meta	none
GSE134260	no	no	none
GSE134269	no	no	author
GSE134273	no	no	none
GSE134286	no	no	none
GSE134288	no	no	none
GSE134311	no	no	none
GSE134331	no	no	none
GSE134339	no	no	none
GSE134350	no	no	none
GSE134355	no	no	author
GSE134365	no	no	none
GSE134388	no	no	none
GSE134419	no	no	author
GSE134420	no	no	none
GSE134432	no	no	author
GSE134439	yes	object	none
GSE134450	no	no	none
GSE134479	no	no	author
GSE134482	no	no	none
GSE134483	no	no	none
GSE134520	no	no	none
GSE134523	no	no	none
GSE134540	no	no	author
GSE134555	no	no	none
GSE134557	no	no	none
GSE134570	no	no	author
GSE134571	yes	object	none
GSE134576	no	no	none
GSE134577	no	no	none
GSE134688	no	no	none
GSE134690	no	no	none
GSE134705	yes	meta	author
GSE134706	no	no	author
GSE134722	no	no	none
GSE134726	no	no	none
GSE134731	no	no	none
GSE134738	no	no	none
GSE134757	yes	meta	none
GSE134758	yes	meta	none
GSE134791	no	no	none
GSE134809	no	no	author
GSE134837	no	no	none
GSE134881	no	no	author
GSE134883	yes	meta	none
GSE134902	no	no	none
GSE134904	no	no	author
GSE134912	no	no	none
GSE134918	no	no	author
GSE134997	no	no	author
GSE135044	no	no	author
GSE135060	no	no	none
GSE135092	no	no	author
GSE135096	no	no	none
GSE135132	no	no	author
GSE135133	no	no	author
GSE135142	no	no	author
GSE135143	no	no	author
GSE135167	no	no	author
GSE135185	no	no	author
GSE135186	no	no	author
GSE135194	no	no	none
GSE135202	no	no	none
GSE135240	no	no	none
GSE135253	no	no	none
GSE135289	no	no	none
GSE135296	yes	meta	none
GSE135300	no	no	none
GSE135310	no	no	none
GSE135325	no	no	none
GSE135330	no	no	none
GSE135356	no	no	none
GSE135382	yes	meta	author
GSE135394	no	no	none
GSE135399	no	no	none
GSE135406	no	no	none
GSE135414	no	no	none
GSE135429	no	no	author
GSE135437	no	no	author
GSE135461	no	no	none
GSE135495	no	no	none
GSE135497	no	no	author
GSE135500	no	no	none
GSE135507	no	no	none
GSE135513	no	no	author
GSE135520	no	no	none
GSE135553	no	no	none
GSE135564	no	no	none
GSE135595	yes	meta	none
GSE135618	no	no	none
GSE135622	no	no	none
GSE135663	no	no	author
GSE135701	no	no	none
GSE135703	yes	meta	none
GSE135704	no	no	none
GSE135710	no	no	none
GSE135716	no	no	none
GSE135737	no	no	none
GSE135761	no	no	none
GSE135769	no	no	author
GSE135779	no	no	author
GSE135780	no	no	none
GSE135781	no	no	none
GSE135801	no	no	author
GSE135810	no	no	none
GSE135814	no	no	none
GSE135851	no	no	author
GSE135893	yes	meta	author
GSE135897	no	no	none
GSE135922	no	no	author
GSE135929	no	no	none
GSE135985	no	no	none
GSE135992	no	no	none
GSE136001	no	no	none
GSE136005	no	no	none
GSE136028	no	no	none
GSE136049	yes	meta	none
GSE136088	no	no	none
GSE136103	no	no	none
GSE136109	no	no	none
GSE136121	no	no	author
GSE136125	no	no	author
GSE136148	no	no	author
GSE136154	no	no	none
GSE136160	no	no	author
GSE136162	no	no	none
GSE136196	no	no	none
GSE136206	no	no	none
GSE136220	no	no	none
GSE136225	yes	meta	none
GSE136230	yes	meta	none
GSE136239	no	no	none
GSE136314	no	no	none
GSE136341	no	no	none
GSE136353	no	no	none
GSE136376	no	no	none
GSE136394	no	no	none
GSE136441	no	no	none
GSE136447	no	no	none
GSE136455	no	no	none
GSE136546	no	no	none
GSE136580	no	no	none
GSE136610	no	no	none
GSE136611	no	no	none
GSE136636	no	no	none
GSE136641	no	no	none
GSE136656	yes	object	none
GSE136659	no	no	none
GSE136679	no	no	none
GSE136689	yes	meta	none
GSE136718	no	no	none
GSE136720	no	no	none
GSE136723	no	no	none
GSE136732	no	no	author
GSE136747	no	no	none
GSE136752	no	no	none
GSE136795	no	no	none
GSE136800	no	no	none
GSE136802	yes	meta	none
GSE136805	yes	object	author
GSE136831	yes	meta	author
GSE136867	no	no	none
GSE136871	no	no	author
GSE136874	no	no	author
GSE136880	yes	meta	none
GSE136900	no	no	author
GSE136915	no	no	none
GSE136954	no	no	author
GSE136970	no	no	author
GSE136973	no	no	author
GSE136974	no	no	none
GSE136979	no	no	author
GSE137007	no	no	none
GSE137010	no	no	author
GSE137015	no	no	none
GSE137026	no	no	none
GSE137029	no	no	none
GSE137073	no	no	none
GSE137076	no	no	none
GSE137082	no	no	none
GSE137101	yes	meta	none
GSE137116	yes	meta	author
GSE137165	yes	meta	none
GSE137167	no	no	none
GSE137208	no	no	none
GSE137236	yes	meta	author
GSE137275	yes	meta	none
GSE137299	no	no	none
GSE137337	no	no	author
GSE137349	no	no	none
GSE137353	no	no	author
GSE137391	no	no	none
GSE137400	no	no	author
GSE137462	no	no	none
GSE137476	no	no	author
GSE137478	no	no	none
GSE137496	no	no	none
GSE137512	no	no	none
GSE137524	no	no	author
GSE137525	no	no	none
GSE137540	yes	meta	none
GSE137545	no	no	none
GSE137554	yes	meta	none
GSE137572	no	no	none
GSE137586	no	no	none
GSE137597	no	no	none
GSE137620	no	no	none
GSE137659	no	no	none
GSE137671	no	no	none
GSE137672	no	no	none
GSE137699	no	no	author
GSE137710	yes	meta	author
GSE137720	no	no	author
GSE137749	no	no	none
GSE137758	no	no	none
GSE137759	no	no	none
GSE137763	no	no	none
GSE137770	no	no	author
GSE137784	no	no	none
GSE137786	no	no	none
GSE137787	no	no	none
GSE137791	no	no	none
GSE137792	no	no	none
GSE137793	no	no	none
GSE137795	no	no	none
GSE137799	no	no	author
GSE137804	yes	meta	author
GSE137805	no	no	author
GSE137811	no	no	author
GSE137818	no	no	none
GSE137829	no	no	none
GSE137847	yes	meta	author
GSE137864	no	no	none
GSE137869	no	no	author
GSE137876	no	no	none
GSE137877	no	no	none
GSE137908	no	no	none
GSE137909	yes	meta	author
GSE137912	yes	meta	author
GSE137927	no	no	none
GSE137941	no	no	none
GSE137950	no	no	none
GSE137961	no	no	author
GSE137971	no	no	author
GSE137986	no	no	author
GSE138002	no	no	author
GSE138025	no	no	none
GSE138027	yes	meta	author
GSE138033	no	no	author
GSE138121	no	no	none
GSE138156	no	no	author
GSE138181	no	no	author
GSE138222	yes	meta	author
GSE138227	no	no	none
GSE138228	no	no	none
GSE138243	no	no	none
GSE138246	no	no	none
GSE138266	no	no	author
GSE138270	no	no	none
GSE138302	no	no	none
GSE138381	no	no	author
GSE138474	yes	object	none
GSE138504	yes	object	author
GSE138515	yes	meta	none
GSE138536	yes	meta	author
GSE138544	no	no	none
GSE138585	no	no	author
GSE138626	no	no	none
GSE138628	no	no	none
GSE138629	no	no	none
GSE138651	no	no	none
GSE138665	no	no	author
GSE138680	no	no	none
GSE138693	no	no	author
GSE138707	no	no	none
GSE138709	no	no	none
GSE138718	no	no	author
GSE138748	no	no	author
GSE138791	no	no	none
GSE138794	yes	meta	author
GSE138811	yes	meta	none
GSE138826	yes	object	none
GSE138832	no	no	author
GSE138833	no	no	author
GSE138835	no	no	none
GSE138838	no	no	none
GSE138852	no	no	none
GSE138857	no	no	author
GSE138867	no	no	none
GSE138881	no	no	none
GSE138891	no	no	none
GSE138892	no	no	author
GSE138902	no	no	none
GSE138904	no	no	none
GSE138941	no	no	none
GSE138975	no	no	none
GSE138979	no	no	none
GSE139013	no	no	author
GSE139034	no	no	none
GSE139035	no	no	none
GSE139042	yes	meta	none
GSE139046	no	no	none
GSE139065	yes	object	none
GSE139079	no	no	author
GSE139088	no	no	author
GSE139103	no	no	none
GSE139125	yes	meta	none
GSE139161	no	no	author
GSE139168	no	no	author
GSE139181	no	no	author
GSE139186	no	no	none
GSE139193	no	no	author
GSE139200	yes	meta	none
GSE139218	no	no	author
GSE139229	no	no	author
GSE139231	no	no	author
GSE139248	no	no	author
GSE139249	no	no	author
GSE139265	no	no	none
GSE139275	no	no	none
GSE139280	no	no	none
GSE139318	no	no	none
GSE139324	no	no	author
GSE139328	no	no	none
GSE139342	no	no	author
GSE139382	no	no	none
GSE139389	no	no	none
GSE139412	yes	object	none
GSE139448	no	no	author
GSE139492	no	no	author
GSE139495	yes	meta	author
GSE139506	no	no	none
GSE139512	no	no	none
GSE139522	no	no	author
GSE139535	no	no	none
GSE139549	no	no	none
GSE139550	no	no	none
GSE139555	yes	meta	author
GSE139558	no	no	none
GSE139598	yes	meta	none
GSE139600	no	no	none
GSE139658	no	no	none
GSE139659	no	no	none
GSE139819	no	no	none
GSE139827	no	no	author
GSE139829	no	no	author
GSE139842	yes	meta	none
GSE139891	no	no	none
GSE139914	no	no	none
GSE139944	yes	meta	author
GSE139999	no	no	none
GSE140010	no	no	none
GSE140021	no	no	author
GSE140023	yes	meta	author
GSE140026	no	no	none
GSE140032	no	no	none
GSE140061	no	no	none
GSE140091	no	no	none
GSE140123	no	no	author
GSE140128	no	no	none
GSE140130	no	no	none
GSE140133	yes	meta	none
GSE140151	no	no	none
GSE140182	no	no	author
GSE140203	yes	meta	author
GSE140222	no	no	none
GSE140228	no	no	author
GSE140231	no	no	none
GSE140262	yes	meta	none
GSE140312	no	no	none
GSE140348	yes	meta	none
GSE140393	no	no	none
GSE140405	no	no	none
GSE140431	yes	meta	author
GSE140440	no	no	author
GSE140468	yes	meta	author
GSE140493	no	no	none
GSE140511	no	no	author
GSE140512	yes	meta	author
GSE140553	no	no	none
GSE140628	yes	object	none
GSE140793	no	no	none
GSE140795	no	no	none
GSE140802	yes	meta	author
GSE140807	no	no	author
GSE140811	no	no	author
GSE140812	no	no	none
GSE140816	no	no	author
GSE140819	yes	meta	author
GSE140822	no	no	author
GSE140879	no	no	none
GSE140881	no	no	none
GSE140883	no	no	none
GSE140890	no	no	author
GSE140896	no	no	none
GSE140946	no	no	author
GSE140956	no	no	author
GSE140968	no	no	none
GSE140989	no	no	author
GSE141017	no	no	author
GSE141018	no	no	none
GSE141026	yes	object	none
GSE141030	no	meta	author
GSE141031	no	no	none
GSE141036	no	no	none
GSE141038	no	no	none
GSE141044	no	no	author
GSE141105	no	no	none
GSE141111	yes	meta	author
GSE141115	no	no	author
GSE141117	yes	meta	author
GSE141141	no	no	none
GSE141157	no	no	none
GSE141173	yes	meta	none
GSE141175	no	no	none
GSE141183	no	no	none
GSE141238	no	no	none
GSE141259	no	no	author
GSE141263	no	no	none
GSE141275	no	no	none
GSE141284	no	no	none
GSE141299	yes	meta	none
GSE141330	yes	object	author
GSE141348	no	no	none
GSE141383	no	no	none
GSE141428	no	no	none
GSE141445	no	no	none
GSE141457	no	no	none
GSE141460	no	no	author
GSE141471	no	no	none
GSE141472	no	no	none
GSE141526	no	no	none
GSE141532	no	no	none
GSE141533	no	no	none
GSE141552	no	no	none
GSE141590	no	no	author
GSE141634	no	no	author
GSE141664	no	no	none
GSE141665	no	no	author
GSE141692	no	no	none
GSE141701	no	no	none
GSE141728	no	no	none
GSE141730	no	no	author
GSE141732	no	no	none
GSE141776	no	no	none
GSE141786	yes	meta	none
GSE141807	no	no	none
GSE141810	no	no	none
GSE141811	no	no	none
GSE141814	no	no	author
GSE141832	no	no	none
GSE141834	no	no	none
GSE141851	no	no	author
GSE141856	no	no	author
GSE141862	no	no	none
GSE141895	no	no	author
GSE141896	no	no	none
GSE141922	no	no	none
GSE141928	no	no	none
GSE141946	yes	meta	none
GSE141982	no	no	author
GSE142016	no	no	none
GSE142047	no	no	none
GSE142074	no	no	none
GSE142078	no	no	none
GSE142113	no	no	none
GSE142116	no	no	author
GSE142119	no	no	none
GSE142143	yes	meta	none
GSE142168	yes	object	author
GSE142180	no	no	author
GSE142184	no	no	author
GSE142199	no	no	none
GSE142200	no	no	none
GSE142212	no	no	none
GSE142213	no	no	author
GSE142233	no	no	author
GSE142235	no	no	none
GSE142243	no	no	none
GSE142244	no	no	none
GSE142245	yes	meta	author
GSE142267	yes	meta	author
GSE142274	no	no	author
GSE142277	no	no	author
GSE142286	no	no	none
GSE142341	no	no	author
GSE142345	no	no	author
GSE142347	no	no	author
GSE142356	no	no	author
GSE142392	no	no	none
GSE142418	no	no	none
GSE142420	no	no	none
GSE142423	no	no	none
GSE142425	no	no	none
GSE142435	no	no	author
GSE142449	no	no	none
GSE142451	no	no	author
GSE142471	no	no	author
GSE142480	no	no	none
GSE142483	no	no	none
GSE142484	no	no	none
GSE142489	no	no	none
GSE142500	no	no	none
GSE142515	no	no	none
GSE142523	no	no	none
GSE142526	no	no	author
GSE142538	no	no	none
GSE142541	yes	meta	none
GSE142546	no	no	none
GSE142564	yes	meta	author
GSE142581	no	no	author
GSE142585	no	no	none
GSE142613	no	no	none
GSE142637	no	no	none
GSE142653	no	no	none
GSE142655	yes	object	none
GSE142694	no	no	none
GSE142745	no	no	author
GSE142750	no	no	author
GSE142754	no	no	author
GSE142768	no	no	none
GSE142784	no	no	none
GSE142787	yes	object	none
GSE142788	no	no	none
GSE142797	no	no	none
GSE142838	no	no	none
GSE142845	no	no	none
GSE142853	no	no	none
GSE142858	no	no	none
GSE142873	no	no	none
GSE142999	no	no	none
GSE143002	no	no	none
GSE143038	no	no	author
GSE143140	no	no	none
GSE143148	no	no	none
GSE143158	no	no	none
GSE143167	no	no	none
GSE143190	no	no	author
GSE143214	no	no	author
GSE143221	no	no	none
GSE143295	no	no	none
GSE143317	no	no	author
GSE143337	no	no	none
GSE143353	no	no	none
GSE143355	no	no	author
GSE143356	no	no	none
GSE143366	no	no	none
GSE143380	no	no	none
GSE143417	no	no	author
GSE143423	yes	meta	none
GSE143435	yes	meta	none
GSE143437	yes	meta	none
GSE143452	no	no	none
GSE143453	no	no	none
GSE143476	yes	meta	none
GSE143492	no	no	none
GSE143524	no	no	none
GSE143526	yes	object	none
GSE143545	no	no	none
GSE143607	yes	object	none
GSE143624	no	no	none
GSE143636	no	no	none
GSE143637	no	no	author
GSE143663	no	no	author
GSE143669	no	no	author
GSE143685	no	no	none
GSE143686	no	no	none
GSE143704	yes	meta	none
GSE143705	no	no	none
GSE143706	no	no	none
GSE143750	no	no	none
GSE143753	yes	object	none
GSE143758	no	no	author
GSE143783	no	no	author
GSE143796	no	no	author
GSE143802	no	no	author
GSE143806	no	no	none
GSE143813	no	no	none
GSE143817	no	no	none
GSE143818	no	no	none
GSE143868	no	no	author
GSE143877	no	no	none
GSE143880	no	no	none
GSE143888	no	no	none
GSE143913	no	no	none
GSE143916	no	no	none
GSE143920	no	no	none
GSE143949	no	no	none
GSE143960	no	no	none
GSE143988	no	no	none
GSE143997	no	no	none
GSE144009	no	no	none
GSE144024	no	no	none
GSE144027	no	no	none
GSE144038	no	no	author
GSE144085	no	no	none
GSE144097	yes	meta	author
GSE144136	no	meta	none
GSE144170	no	no	none
GSE144172	no	no	none
GSE144173	no	no	none
GSE144174	no	no	none
GSE144191	yes	object	none
GSE144216	yes	object	none
GSE144222	no	no	none
GSE144240	yes	meta	author
GSE144270	no	no	author
GSE144271	no	no	author
GSE144273	no	no	none
GSE144299	no	no	none
GSE144306	no	no	author
GSE144317	yes	meta	author
GSE144320	yes	meta	author
GSE144351	no	no	none
GSE144357	yes	meta	author
GSE144384	no	no	none
GSE144411	no	no	none
GSE144420	no	no	none
GSE144430	no	no	none
GSE144434	no	no	none
GSE144444	no	no	author
GSE144468	no	no	none
GSE144469	yes	meta	author
GSE144471	no	no	none
GSE144477	no	no	none
GSE144481	no	no	author
GSE144482	yes	meta	author
GSE144494	no	no	none
GSE144495	no	no	none
GSE144507	no	no	none
GSE144508	yes	meta	author
GSE144528	no	no	none
GSE144568	yes	object	author
GSE144572	no	no	none
GSE144635	no	no	none
GSE144636	no	no	none
GSE144637	no	no	none
GSE144678	no	no	none
GSE144705	no	no	author
GSE144707	no	no	author
GSE144720	no	no	none
GSE144730	no	no	none
GSE144734	no	no	none
GSE144735	yes	meta	author
GSE144744	yes	meta	none
GSE144769	no	no	none
GSE144820	no	no	author
GSE144827	no	no	author
GSE144870	no	no	author
GSE144890	no	no	none
GSE144897	no	no	author
GSE144908	no	no	none
GSE144944	no	no	none
GSE144980	no	no	none
GSE145013	yes	meta	none
GSE145031	no	no	none
GSE145036	no	no	none
GSE145080	no	no	author
GSE145086	no	no	author
GSE145095	yes	meta	none
GSE145107	no	no	none
GSE145121	no	no	none
GSE145122	no	no	none
GSE145137	yes	meta	author
GSE145139	no	no	author
GSE145163	no	no	none
GSE145170	no	no	none
GSE145172	yes	meta	none
GSE145197	no	no	author
GSE145228	no	no	none
GSE145229	no	no	none
GSE145230	no	no	none
GSE145236	no	no	none
GSE145241	yes	object	none
GSE145242	no	no	none
GSE145243	no	no	none
GSE145247	no	no	none
GSE145251	no	no	none
GSE145266	no	no	none
GSE145267	no	no	none
GSE145273	no	no	none
GSE145279	no	no	author
GSE145281	no	no	none
GSE145283	no	no	none
GSE145286	no	no	author
GSE145298	no	no	none
GSE145299	no	no	none
GSE145306	no	no	none
GSE145307	no	no	none
GSE145326	no	no	none
GSE145328	yes	meta	none
GSE145347	no	no	none
GSE145360	yes	meta	author
GSE145363	no	no	author
GSE145370	yes	meta	author
GSE145410	no	no	author
GSE145434	no	no	author
GSE145435	no	no	author
GSE145443	yes	meta	author
GSE145477	no	no	author
GSE145502	no	no	author
GSE145518	no	no	none
GSE145539	no	no	none
GSE145556	no	no	author
GSE145609	yes	object	none
GSE145619	no	no	none
GSE145633	no	no	none
GSE145638	no	no	author
GSE145690	no	no	author
GSE145700	no	no	none
GSE145708	no	no	none
GSE145727	no	no	none
GSE145765	yes	object	none
GSE145800	yes	object	author
GSE145801	no	no	none
GSE145809	no	no	none
GSE145815	yes	meta	none
GSE145830	no	no	author
GSE145832	yes	meta	none
GSE145866	no	no	author
GSE145886	yes	object	none
GSE145894	no	meta	none
GSE145896	no	no	none
GSE145922	yes	meta	none
GSE145926	yes	meta	author
GSE145927	yes	meta	none
GSE145928	no	no	none
GSE145929	no	no	none
GSE145934	no	no	none
GSE145973	no	no	none
GSE145998	no	no	none
GSE146002	no	no	none
GSE146007	no	no	none
GSE146020	no	no	none
GSE146026	no	no	author
GSE146035	no	no	none
GSE146040	yes	object	none
GSE146043	no	no	author
GSE146099	yes	object	none
GSE146113	no	no	none
GSE146115	no	no	author
GSE146118	no	no	none
GSE146122	yes	meta	author
GSE146123	no	no	author
GSE146137	no	no	author
GSE146138	yes	object	none
GSE146165	no	no	author
GSE146172	yes	meta	none
GSE146186	no	no	author
GSE146187	no	no	author
GSE146194	no	no	none
GSE146216	no	no	none
GSE146221	no	no	none
GSE146233	no	no	none
GSE146238	no	no	none
GSE146244	no	no	none
GSE146264	no	no	none
GSE146285	no	no	none
GSE146292	no	no	none
GSE146310	no	no	none
GSE146311	no	no	none
GSE146312	no	no	none
GSE146313	no	no	none
GSE146314	no	no	none
GSE146315	no	no	none
GSE146373	no	no	none
GSE146395	no	no	none
GSE146409	no	no	author
GSE146437	no	no	none
GSE146456	no	no	none
GSE146510	no	no	none
GSE146596	yes	meta	none
GSE146609	no	no	none
GSE146613	yes	meta	none
GSE146619	no	no	author
GSE146626	no	no	none
GSE146637	yes	object	author
GSE146639	no	no	none
GSE146672	no	no	none
GSE146681	no	no	none
GSE146682	no	no	none
GSE146684	yes	meta	author
GSE146692	no	no	author
GSE146712	no	no	author
GSE146731	no	no	none
GSE146737	yes	object	none
GSE146740	yes	object	none
GSE146741	no	no	none
GSE146755	no	no	none
GSE146759	yes	meta	none
GSE146763	no	no	none
GSE146771	yes	meta	author
GSE146773	no	no	none
GSE146783	no	no	none
GSE146799	no	no	author
GSE146811	no	no	author
GSE146837	yes	meta	none
GSE146855	no	no	none
GSE146861	no	no	none
GSE146912	no	no	author
GSE146923	no	no	none
GSE146926	no	no	author
GSE146972	no	no	none
GSE146974	no	no	author
GSE146981	no	no	none
GSE146983	no	no	none
GSE146988	no	no	none
GSE146990	no	no	none
GSE147021	no	no	author
GSE147031	no	no	none
GSE147047	no	no	none
GSE147066	yes	meta	none
GSE147075	no	no	none
GSE147080	no	no	author
GSE147081	no	no	author
GSE147092	yes	meta	none
GSE147100	no	no	none
GSE147108	no	no	none
GSE147110	no	no	none
GSE147117	no	no	none
GSE147127	no	no	none
GSE147135	no	no	none
GSE147143	yes	object	author
GSE147150	no	no	none
GSE147174	no	no	none
GSE147182	yes	meta	none
GSE147191	yes	meta	none
GSE147203	yes	meta	author
