id	year	usable	usable2
GSE115007	2018	no	no
GSE115008	2018	no	no
GSE115011	2018	no	no
GSE115030	2018	yes	object
GSE115032	2018	no	no
GSE115033	2018	no	no
GSE115070	2018	yes	meta
GSE115097	2018	no	no
GSE115140	2018	no	no
GSE115149	2018	no	no
GSE115189	2018	no	no
GSE115218	2018	no	no
GSE115235	2018	no	no
GSE115242	2018	no	no
GSE115243	2018	yes	meta
GSE115251	2018	no	no
GSE115257	2018	no	no
GSE115280	2018	no	no
GSE115297	2018	no	no
GSE115298	2018	no	no
GSE115299	2018	no	no
GSE115301	2018	yes	meta
GSE115331	2018	no	no
GSE115346	2018	no	no
GSE115350	2018	no	no
GSE115389	2018	no	no
GSE115397	2018	no	no
GSE115404	2018	no	no
GSE115405	2018	no	no
GSE115424	2018	no	no
GSE115427	2018	no	no
GSE115469	2018	no	no
GSE115476	2018	no	no
GSE115501	2018	no	no
GSE115571	2018	no	no
GSE115600	2018	no	no
GSE115612	2018	no	no
GSE115622	2018	no	no
GSE115628	2018	no	no
GSE115640	2018	no	no
GSE115723	2018	no	no
GSE115730	2018	no	no
GSE115746	2018	yes	meta
GSE115765	2018	no	no
GSE115795	2018	no	no
GSE115798	2018	no	no
GSE115803	2018	no	no
GSE115859	2018	no	no
GSE115861	2018	no	no
GSE115865	2018	no	no
GSE115869	2018	no	no
GSE115884	2018	no	no
GSE115900	2018	no	no
GSE115903	2018	no	no
GSE115908	2018	no	no
GSE115926	2018	no	no
GSE115931	2018	no	no
GSE115934	2018	no	no
GSE115936	2018	no	no
GSE115937	2018	no	no
GSE115950	2018	no	no
GSE115953	2018	no	no
GSE115955	2018	no	no
GSE115956	2018	no	no
GSE115968	2018	no	no
GSE115978	2018	yes	meta
GSE115982	2018	no	no
GSE115986	2018	no	no
GSE115997	2018	no	no
GSE116001	2018	no	no
GSE116011	2018	no	no
GSE116031	2018	no	no
GSE116106	2018	no	no
GSE116113	2018	no	no
GSE116138	2018	no	no
GSE116140	2018	no	no
GSE116165	2018	no	no
GSE116180	2018	no	no
GSE116222	2018	no	no
GSE116237	2018	no	no
GSE116240	2018	no	no
GSE116254	2018	no	no
GSE116256	2018	no	no
GSE116341	2018	no	no
GSE116390	2018	yes	meta
GSE116397	2018	no	no
GSE116426	2018	no	no
GSE116470	2018	yes	meta
GSE116481	2018	yes	meta
GSE116482	2018	no	no
GSE116500	2018	no	no
GSE116514	2018	no	no
GSE116530	2018	no	no
GSE116555	2018	yes	object
GSE116614	2018	no	no
GSE116621	2018	no	no
GSE116672	2018	no	no
GSE116683	2018	no	no
GSE116708	2018	no	no
GSE116718	2018	no	no
GSE116753	2018	no	no
GSE116920	2018	no	no
GSE116946	2018	no	no
GSE116947	2018	no	no
GSE117011	2018	no	no
GSE117053	2018	no	no
GSE117055	2018	no	no
GSE117075	2018	no	no
GSE117078	2018	no	no
GSE117079	2018	no	no
GSE117089	2018	yes	meta
GSE117129	2018	no	no
GSE117131	2018	yes	meta
GSE117149	2018	no	no
GSE117154	2018	no	no
GSE117156	2018	yes	meta
GSE117166	2018	no	no
GSE117176	2018	no	no
GSE117211	2018	no	no
GSE117216	2018	no	no
GSE117219	2018	no	no
GSE117229	2018	no	no
GSE117233	2018	no	no
GSE117271	2018	no	no
GSE117309	2018	no	no
GSE117382	2018	no	no
GSE117394	2018	no	no
GSE117397	2018	no	no
GSE117403	2018	no	no
GSE117410	2018	no	meta
GSE117437	2018	no	no
GSE117449	2018	no	no
GSE117470	2018	no	no
GSE117480	2018	no	no
GSE117498	2018	no	no
GSE117512	2018	no	no
GSE117542	2018	no	no
GSE117567	2018	no	no
GSE117570	2018	no	no
GSE117599	2018	no	no
GSE117615	2018	no	no
GSE117708	2018	no	no
GSE117715	2018	no	no
GSE117770	2018	no	no
GSE117795	2018	no	no
GSE117803	2018	no	no
GSE117826	2018	no	no
GSE117837	2018	no	no
GSE117872	2018	no	no
GSE117891	2018	no	no
GSE117893	2018	no	no
GSE117895	2018	no	no
GSE117963	2018	no	no
GSE117988	2018	no	no
GSE117997	2018	no	no
GSE118019	2018	no	no
GSE118055	2018	no	no
GSE118056	2018	no	no
GSE118068	2018	no	no
GSE118122	2018	no	no
GSE118127	2018	no	no
GSE118137	2018	no	no
GSE118180	2018	no	no
GSE118184	2018	no	no
GSE118194	2018	no	no
GSE118209	2018	no	no
GSE118234	2018	no	no
GSE118237	2018	yes	meta
GSE118252	2018	no	no
GSE118257	2018	yes	meta
GSE118258	2018	yes	meta
GSE118292	2018	no	no
GSE118312	2018	no	no
GSE118322	2018	yes	meta
GSE118390	2018	no	no
GSE118404	2018	no	no
GSE118410	2018	no	no
GSE118412	2018	no	no
GSE118436	2018	no	no
GSE118486	2018	no	no
GSE118487	2018	no	no
GSE118545	2018	no	no
GSE118546	2018	yes	object
GSE118555	2018	no	no
GSE118577	2018	no	no
GSE118599	2018	no	no
GSE118614	2018	no	no
GSE118682	2018	no	no
GSE118723	2018	yes	meta
GSE118726	2018	no	no
GSE118733	2018	no	no
GSE118734	2018	no	no
GSE118767	2018	yes	meta
GSE118768	2018	no	no
GSE118773	2018	no	no
GSE118814	2018	no	no
GSE118828	2018	yes	meta
GSE118852	2018	no	no
GSE118891	2018	no	no
GSE118900	2018	no	no
GSE118904	2018	no	no
GSE118918	2018	no	no
GSE118931	2018	no	no
GSE118932	2018	no	no
GSE118948	2018	no	no
GSE118953	2018	no	no
GSE118987	2018	no	no
GSE119045	2018	no	no
GSE119060	2018	no	no
GSE119139	2018	no	no
GSE119212	2018	no	no
GSE119228	2018	yes	meta
GSE119271	2018	no	no
GSE119274	2018	no	no
GSE119323	2018	no	no
GSE119324	2018	no	no
GSE119343	2018	no	no
GSE119352	2018	yes	meta
GSE119355	2018	no	no
GSE119373	2018	no	no
GSE119428	2018	yes	meta
GSE119450	2018	no	no
GSE119455	2018	no	no
GSE119484	2018	no	no
GSE119506	2018	no	no
GSE119507	2018	no	no
GSE119531	2018	yes	meta
GSE119561	2018	no	no
GSE119562	2018	no	no
GSE119594	2018	no	no
GSE119630	2018	no	no
GSE119750	2018	yes	meta
GSE119766	2018	no	no
GSE119807	2018	no	no
GSE119861	2018	no	no
GSE119888	2018	no	no
GSE119893	2018	no	no
GSE119906	2018	no	no
GSE119926	2018	no	no
GSE119943	2018	no	no
GSE119945	2018	yes	meta
GSE119960	2018	no	no
GSE119969	2018	no	no
GSE119984	2018	no	no
GSE119988	2018	no	no
GSE120000	2018	no	no
GSE120035	2018	no	no
GSE120046	2018	yes	meta
GSE120061	2018	no	no
GSE120064	2018	no	no
GSE120067	2018	no	no
GSE120107	2018	no	no
GSE120108	2018	no	no
GSE120112	2018	no	no
GSE120145	2018	no	no
GSE120155	2018	no	no
GSE120156	2018	no	no
GSE120180	2018	no	no
GSE120190	2018	no	no
GSE120199	2018	no	no
GSE120239	2018	no	no
GSE120261	2018	no	no
GSE120269	2018	no	no
GSE120365	2018	no	no
GSE120372	2018	no	no
GSE120386	2018	no	no
GSE120404	2018	no	no
GSE120406	2018	no	no
GSE120407	2018	no	no
GSE120408	2018	no	no
GSE120410	2018	no	no
GSE120421	2018	no	no
GSE120446	2018	no	no
GSE120462	2018	no	no
GSE120467	2018	no	no
GSE120503	2018	no	no
GSE120508	2018	no	no
GSE120515	2018	no	no
GSE120522	2018	no	no
GSE120537	2018	yes	meta
GSE120575	2018	no	no
GSE120628	2018	no	no
GSE120629	2018	no	no
GSE120654	2018	no	no
GSE120667	2018	no	no
GSE120678	2018	no	no
GSE120744	2018	no	no
GSE120745	2018	no	no
GSE120776	2018	no	no
GSE120787	2018	no	no
GSE120839	2018	yes	meta
GSE120861	2018	yes	object
GSE120909	2018	no	no
GSE120960	2018	no	no
GSE120974	2018	no	no
GSE120976	2018	no	no
GSE121001	2018	no	no
GSE121002	2018	no	no
GSE121026	2018	no	no
GSE121034	2018	no	no
GSE121039	2018	yes	meta
GSE121047	2018	no	no
GSE121050	2018	no	no
GSE121080	2018	no	no
GSE121081	2018	no	no
GSE121083	2018	no	no
GSE121107	2018	no	no
GSE121265	2018	no	meta
GSE121267	2018	no	no
GSE121284	2018	no	no
GSE121287	2018	no	no
GSE121292	2018	no	no
GSE121309	2018	no	no
GSE121320	2018	no	no
GSE121364	2018	no	no
GSE121371	2018	no	no
GSE121380	2018	no	no
GSE121386	2018	no	no
GSE121416	2018	no	no
GSE121429	2018	no	no
GSE121451	2018	no	no
GSE121457	2018	yes	meta
GSE121469	2018	no	no
GSE121477	2018	no	no
GSE121478	2018	no	no
GSE121521	2018	no	no
GSE121527	2018	no	no
GSE121560	2018	no	no
GSE121568	2018	no	no
GSE121579	2018	no	no
GSE121598	2018	no	no
GSE121600	2018	no	no
GSE121602	2018	no	no
GSE121611	2018	no	no
GSE121617	2018	no	no
GSE121619	2018	yes	object
GSE121638	2018	yes	meta
GSE121653	2018	no	no
GSE121654	2018	no	no
GSE121655	2018	no	no
GSE121671	2018	no	no
GSE121705	2018	no	no
GSE121707	2018	no	no
GSE121708	2018	no	no
GSE121717	2018	no	no
GSE121720	2018	no	meta
GSE121737	2018	no	no
GSE121750	2018	no	no
GSE121807	2018	no	no
GSE121861	2018	no	no
GSE121891	2018	yes	meta
GSE121893	2018	no	no
GSE121904	2018	no	no
GSE121940	2018	no	no
GSE121957	2018	yes	meta
GSE122009	2018	yes	meta
GSE122012	2018	no	no
GSE122026	2018	no	no
GSE122031	2018	no	no
GSE122041	2018	no	no
GSE122043	2018	no	no
GSE122057	2018	no	no
GSE122084	2018	no	no
GSE122187	2018	no	no
GSE122208	2018	no	no
GSE122209	2018	no	no
GSE122233	2018	no	no
GSE122332	2018	no	no
GSE122336	2018	no	no
GSE122342	2018	no	no
GSE122357	2018	no	no
GSE122392	2018	no	no
GSE122393	2018	no	no
GSE122403	2018	no	no
GSE122460	2018	yes	meta
GSE122467	2018	yes	meta
GSE122529	2018	no	no
GSE122662	2018	no	no
GSE122666	2018	no	no
GSE122687	2018	no	no
GSE122706	2018	no	no
GSE122713	2018	no	no
GSE122730	2018	no	no
GSE122740	2018	no	no
GSE122743	2018	no	no
GSE122762	2018	no	no
GSE122783	2018	no	no
GSE122784	2018	no	no
GSE122792	2018	no	no
GSE122795	2018	no	no
GSE122817	2018	no	no
GSE122827	2018	no	no
GSE122843	2018	no	no
GSE122846	2018	no	no
GSE122871	2018	no	no
GSE122873	2018	no	no
GSE122900	2018	no	no
GSE122930	2018	no	no
GSE122960	2018	no	no
GSE122969	2018	no	no
GSE122970	2018	no	no
GSE122982	2018	no	no
GSE122992	2018	no	no
GSE123013	2018	no	no
GSE123028	2018	no	no
GSE123030	2018	no	no
GSE123035	2018	no	no
GSE123067	2018	no	no
GSE123070	2018	no	no
GSE123074	2018	no	no
GSE123078	2018	no	no
GSE123103	2018	no	no
GSE123119	2018	no	meta
GSE123135	2018	no	no
GSE123139	2018	no	no
GSE123164	2018	no	no
GSE123179	2018	no	no
GSE123187	2018	no	no
GSE123241	2018	no	no
GSE123335	2018	yes	meta
GSE123359	2018	no	no
GSE123366	2018	no	no
GSE123392	2018	yes	meta
GSE123400	2018	no	no
GSE123454	2018	no	no
GSE123476	2018	no	no
GSE123508	2018	no	no
GSE123516	2018	no	no
GSE123534	2018	no	no
GSE123547	2018	no	no
GSE123585	2018	no	no
GSE123586	2018	no	no
GSE123587	2018	no	no
GSE123595	2018	no	no
GSE123604	2018	no	no
GSE123662	2018	no	no
GSE123722	2018	no	no
GSE123778	2018	no	no
GSE123782	2018	no	no
GSE123812	2018	no	no
GSE123813	2018	yes	meta
GSE123818	2018	no	no
GSE123824	2018	no	no
GSE123837	2018	no	no
GSE123838	2018	no	no
GSE123844	2018	no	no
GSE123904	2018	yes	meta
GSE123926	2018	no	no
GSE123941	2018	no	no
GSE123994	2018	no	no
GSE124031	2018	no	no
GSE124061	2018	no	no
GSE124099	2018	no	no
GSE124162	2018	no	no
GSE124172	2018	no	no
GSE124174	2018	no	no
GSE124258	2018	no	no
GSE124263	2018	no	no
GSE124299	2018	yes	meta
GSE124310	2018	no	no
GSE124312	2018	yes	meta
GSE124323	2018	yes	meta
GSE124324	2018	no	no
GSE124334	2018	no	no
GSE124335	2018	no	no
GSE124365	2018	no	no
GSE124395	2018	yes	object
GSE124425	2018	no	no
GSE124437	2018	no	no
GSE124454	2018	no	no
GSE124472	2018	no	no
GSE124477	2018	no	no
GSE124488	2018	no	no
GSE124494	2018	no	no
GSE124560	2019	no	no
GSE124562	2019	no	no
GSE124577	2019	no	no
GSE124675	2019	yes	meta
GSE124691	2019	no	no
GSE124703	2019	no	no
GSE124728	2019	no	no
GSE124731	2019	yes	meta
GSE124742	2019	no	no
GSE124796	2019	no	no
GSE124822	2019	no	no
GSE124847	2019	no	no
GSE124862	2019	no	no
GSE124872	2019	yes	meta
GSE124875	2019	no	meta
GSE124880	2019	no	no
GSE124885	2019	no	no
GSE124889	2019	no	no
GSE124899	2019	no	no
GSE124901	2019	no	no
GSE124904	2019	no	no
GSE124930	2019	no	no
GSE124952	2019	yes	meta
GSE124989	2019	no	no
GSE124992	2019	no	no
GSE125044	2019	yes	meta
GSE125065	2019	no	no
GSE125077	2019	no	no
GSE125088	2019	no	no
GSE125162	2019	no	no
GSE125188	2019	no	no
GSE125241	2019	no	no
GSE125269	2019	no	no
GSE125272	2019	no	no
GSE125288	2019	no	no
GSE125290	2019	no	no
GSE125300	2019	no	no
GSE125316	2019	no	no
GSE125372	2019	no	no
GSE125416	2019	no	no
GSE125449	2019	no	no
GSE125464	2019	no	no
GSE125492	2019	no	no
GSE125497	2019	no	no
GSE125527	2019	yes	meta
GSE125579	2019	yes	meta
GSE125586	2019	yes	meta
GSE125587	2019	no	no
GSE125588	2019	no	no
GSE125595	2019	no	no
GSE125616	2019	no	no
GSE125620	2019	no	no
GSE125670	2019	no	no
GSE125676	2019	no	no
GSE125680	2019	no	no
GSE125688	2019	no	no
GSE125694	2019	no	no
GSE125708	2019	no	no
GSE125709	2019	no	no
GSE125837	2019	no	no
GSE125838	2019	no	no
GSE125881	2019	yes	meta
GSE125949	2019	no	no
GSE125969	2019	yes	meta
GSE125970	2019	no	no
GSE126022	2019	no	no
GSE126027	2019	no	no
GSE126030	2019	no	no
GSE126042	2019	no	no
GSE126060	2019	no	no
GSE126067	2019	no	no
GSE126068	2019	no	no
GSE126074	2019	no	no
GSE126085	2019	no	no
GSE126111	2019	no	no
GSE126128	2019	no	no
GSE126131	2019	no	no
GSE126139	2019	no	no
GSE126158	2019	no	no
GSE126159	2019	no	no
GSE126184	2019	no	no
GSE126205	2019	no	no
GSE126250	2019	no	no
GSE126261	2019	no	no
GSE126310	2019	no	no
GSE126321	2019	no	no
GSE126349	2019	no	no
GSE126388	2019	no	no
GSE126480	2019	no	no
GSE126488	2019	yes	object
GSE126497	2019	no	no
GSE126500	2019	no	no
GSE126539	2019	no	no
GSE126574	2019	no	no
GSE126579	2019	no	no
GSE126647	2019	no	no
GSE126657	2019	no	no
GSE126707	2019	no	no
GSE126714	2019	no	no
GSE126770	2019	no	no
GSE126780	2019	no	no
GSE126783	2019	no	no
GSE126815	2019	no	no
GSE126820	2019	no	no
GSE126834	2019	no	no
GSE126836	2019	no	no
GSE126891	2019	no	no
GSE126924	2019	no	no
GSE126954	2019	yes	meta
GSE126966	2019	no	no
GSE126967	2019	no	no
GSE126968	2019	no	no
GSE127005	2019	yes	meta
GSE127193	2019	no	no
GSE127202	2019	no	no
GSE127221	2019	yes	meta
GSE127235	2019	no	no
GSE127249	2019	no	no
GSE127266	2019	no	no
GSE127298	2019	no	no
GSE127465	2019	yes	meta
GSE127470	2019	no	no
GSE127471	2019	no	no
GSE127683	2019	no	no
GSE127724	2019	no	no
GSE127754	2019	no	no
